Time (s),W,X,Y,Z
3.839748859,0.9020513,0.0495247,-0.3648269,-0.2176688
3.859567642,0.9022083,0.04927087,-0.363997,-0.2184635
3.879385471,0.9014006,0.05122753,-0.3637327,-0.2217629
3.899203777,0.9004866,0.05153728,-0.3658348,-0.2219463
3.919021606,0.8998585,0.05066728,-0.3684275,-0.2204006
3.938839912,0.8995144,0.05003277,-0.3695979,-0.2199898
3.958657742,0.8994041,0.04563616,-0.3720186,-0.2173005
3.978475571,0.9003999,0.04265746,-0.3729849,-0.2120618
3.998294353,0.901045,0.04019478,-0.3730322,-0.2097073
4.018112183,0.9006795,0.0379111,-0.3758489,-0.2066505
4.037930489,0.9006357,0.03713771,-0.3781466,-0.2027538
4.057748318,0.900878,0.03825608,-0.3783008,-0.2011751
4.077566624,0.901216,0.03967926,-0.3779953,-0.1999567
4.099861622,0.9013795,0.04175317,-0.3777737,-0.1992145
4.119679451,0.9011132,0.04383227,-0.3793054,-0.19705
4.139498234,0.9004836,0.0442253,-0.3824092,-0.1938155
4.159316063,0.8995414,0.04456205,-0.3858359,-0.1913051
4.179134369,0.898794,0.04639336,-0.3883244,-0.1893382
4.198952198,0.8985421,0.04690718,-0.3898022,-0.1873596
4.218770504,0.8986652,0.04672113,-0.3907255,-0.1848761
4.238588333,0.8994086,0.04682785,-0.3905748,-0.1815221
4.258407116,0.8998152,0.04553637,-0.390608,-0.1797556
4.278224945,0.9006585,0.044308,-0.3901819,-0.1767392
4.298042774,0.9010911,0.04453435,-0.3895519,-0.1758657
4.317861080,0.9008868,0.04624767,-0.389016,-0.1776467
4.337678909,0.900708,0.04768079,-0.3883548,-0.17961
4.357497215,0.9004719,0.04863816,-0.3876513,-0.1820408
4.379792690,0.8999696,0.04834505,-0.3883565,-0.1830967
4.399610996,0.8994008,0.0462395,-0.3898914,-0.1831736
4.419428825,0.8990226,0.04582402,-0.3904362,-0.1839725
4.439247131,0.8982627,0.045207,-0.3921109,-0.1842749
4.459064961,0.8974923,0.04656192,-0.3935369,-0.1846504
4.478883743,0.8962922,0.04797652,-0.3950389,-0.1868973
4.498701573,0.8949905,0.04996247,-0.3967057,-0.1890717
4.518519402,0.8933237,0.05228811,-0.3992775,-0.1909022
4.538337708,0.8916992,0.05405676,-0.4022427,-0.1917779
4.558155537,0.8901692,0.0539947,-0.4056559,-0.1917144
4.577973843,0.8890532,0.05424118,-0.4076869,-0.1925135
4.597791672,0.8882106,0.05330123,-0.4089601,-0.1939593
4.617610455,0.8868412,0.05390947,-0.4109154,-0.1959153
4.639905453,0.8846388,0.05838642,-0.4129578,-0.200246
4.659723759,0.8823351,0.06298564,-0.4156307,-0.2034611
4.679541588,0.8803802,0.06472135,-0.4188582,-0.2047617
4.699360371,0.8792474,0.06635962,-0.4199651,-0.2068273
4.719177723,0.8778892,0.06866018,-0.4214002,-0.2089161
4.738995552,0.8765271,0.07039736,-0.4231271,-0.2105601
4.758814335,0.8751412,0.07224075,-0.4248604,-0.2122039
4.778632164,0.8736049,0.07344642,-0.428296,-0.2112117
4.798450470,0.8717016,0.0725934,-0.4333254,-0.2091009
4.818268299,0.8712198,0.07065723,-0.4353586,-0.2075434
4.838086605,0.8709541,0.07105038,-0.4354439,-0.2083437
4.857904434,0.8706849,0.0756814,-0.4353499,-0.2080339
4.877723217,0.8695413,0.07293835,-0.4393582,-0.2053532
4.897541046,0.8681591,0.07239249,-0.443936,-0.2015126
