Time (s),Roll (deg),Pitch (deg),Yaw (deg)
4.560076237,0.1856287,0.006989645,-162.2436
4.579891682,0.1856192,0.006351823,-162.2403
4.599707604,0.1849827,0.005756903,-162.2384
4.619523525,0.1852141,0.006184516,-162.2359
4.639339447,0.1849922,0.005747861,-162.2369
4.659154892,0.1865499,0.005353644,-162.2446
4.678970814,0.1863269,0.00747139,-162.2535
4.698786736,0.1877512,0.006982421,-162.2586
4.718602657,0.1871511,0.006514673,-162.2631
4.738417626,0.1867932,0.006445054,-162.267
4.758233547,0.1869197,0.007638742,-162.2635
4.780526638,0.1887296,0.007351104,-162.2578
4.800342560,0.1878844,0.007023148,-162.2593
4.820158482,0.1892405,0.006849322,-162.2631
4.839973450,0.1895398,0.006454969,-162.2678
4.859789372,0.1878493,0.006857937,-162.2729
4.879604817,0.1884192,0.007344291,-162.2776
4.899420738,0.1902012,0.00808656,-162.2819
4.919236660,0.1896827,0.007154469,-162.2864
4.939052582,0.1887046,0.005012579,-162.2891
4.958868504,0.1886134,0.004645632,-162.2847
4.978683949,0.1882072,0.005773117,-162.2803
4.998499870,0.1875339,0.00669542,-162.2757
5.018315792,0.1868104,0.008104189,-162.2729
5.040607929,0.1861224,0.008153448,-162.2674
5.060423851,0.185568,0.008889191,-162.2628
5.080239773,0.1866965,0.008587875,-162.2587
5.100055695,0.1868421,0.007713138,-162.2628
5.119871616,0.1862038,0.006436349,-162.2717
5.139687061,0.1866954,0.007007177,-162.2799
5.159502983,0.1868557,0.007192082,-162.2751
5.179318905,0.1868574,0.008210314,-162.2712
5.199134827,0.186538,0.01000479,-162.2709
5.218950272,0.1865495,0.01148748,-162.2754
5.238766193,0.1877273,0.0115758,-162.2789
5.258581638,0.1860443,0.01183535,-162.2743
5.278397083,0.1861109,0.01230269,-162.2709
5.298213005,0.1856409,0.01372747,-162.2719
5.320506096,0.1845357,0.01250036,-162.2848
5.340322018,0.1843408,0.01361354,-162.2951
5.360137940,0.1847736,0.01355765,-162.2922
5.379953384,0.1858358,0.01443008,-162.2898
5.399769306,0.1873425,0.01362007,-162.2904
5.419584751,0.1909817,0.01287509,-162.2919
5.439400196,0.1902133,0.01464873,-162.2954
5.459216118,0.190252,0.01568625,-162.3043
5.479032040,0.1896121,0.01554249,-162.3149
5.498847962,0.1893808,0.01585833,-162.3222
5.518663406,0.1893437,0.01850056,-162.3226
5.538479328,0.1893449,0.02076929,-162.3248
5.558295250,0.1887566,0.02060266,-162.3282
5.580588341,0.1896158,0.0200766,-162.332
5.600404263,0.1891618,0.01879417,-162.3319
5.620219231,0.1875599,0.01889529,-162.3294
5.640035153,0.1862873,0.01845767,-162.3265
5.659851074,0.1869851,0.01756881,-162.3294
5.679666996,0.1867293,0.01790057,-162.3326
5.699482441,0.1887282,0.01615981,-162.333
5.719298363,0.1884216,0.0153069,-162.3253
5.739114285,0.1878159,0.01616467,-162.317
5.758930206,0.1869392,0.01741409,-162.3134
5.778745651,0.1891382,0.01474919,-162.3097
5.798561573,0.1908038,0.01493473,-162.3047
5.818377495,0.1883964,0.01348078,-162.2978
5.838193417,0.1888668,0.01249762,-162.2908
5.860486508,0.1891453,0.01041821,-162.2833
5.880301953,0.1898573,0.008605914,-162.2766
5.900117874,0.1892421,0.008703198,-162.2686
5.919933796,0.1893831,0.007794316,-162.2576
5.939748764,0.1911983,0.007842357,-162.2456
5.959564686,0.1906002,0.009903922,-162.2394
5.979380608,0.1900051,0.01142773,-162.2357
5.999196529,0.1893903,0.009323588,-162.233
6.019011974,0.1894269,0.009315337,-162.2354
6.038827896,0.1900441,0.008865449,-162.2377
6.058643818,0.1896537,0.008503762,-162.2363
6.078459740,0.1907865,0.008479472,-162.2327
